,index,player_id,pretty_name,club_pretty_name,_name_and_club,index,pt_name,pt_team,_name_and_club,TRUSTWORTH
738,1761,21490,Mounir El Hamdaoui,Ac Florenz,Mounir El Hamdaoui Ac Florenz,5540,EL HAMDAOUI,fiorentina,EL HAMDAOUI fiorentina,True
742,1765,32617,Micah Richards,Ac Florenz,Micah Richards Ac Florenz,6997,RICHARDS,fiorentina,RICHARDS fiorentina,True
744,1767,40372,Borja Valero,Ac Florenz,Borja Valero Ac Florenz,5903,VALERO BORJA,fiorentina,VALERO BORJA fiorentina,True
745,1769,47085,Nenad Tomović,Ac Florenz,Nenad Tomović Ac Florenz,4142,TOMOVIC N.,genoa,TOMOVIC N. genoa,True
747,1771,55997,Jose Maria Basanta,Ac Florenz,Jose Maria Basanta Ac Florenz,6555,BASANTA,fiorentina,BASANTA fiorentina,True
749,1773,5896,David Pizarro,Ac Florenz,David Pizarro Ac Florenz,366,PIZARRO,udinese,PIZARRO udinese,True
752,1776,7663,Joaquin,Ac Florenz,Joaquin Ac Florenz,6220,JOAQUIN,fiorentina,JOAQUIN fiorentina,True
753,1777,80351,Josip Ilicic,Ac Florenz,Josip Ilicic Ac Florenz,4430,ILICIC J.,palermo,ILICIC J. palermo,True
754,1779,91970,Juan Cuadrado,Ac Florenz,Juan Cuadrado Ac Florenz,3769,CUADRADO J.,udinese,CUADRADO J. udinese,True
755,1782,135747,Luca Lezzerini,Ac Florenz,Luca Lezzerini Ac Florenz,7421,LEZZERINI L.,fiorentina,LEZZERINI L. fiorentina,True
756,1783,141834,Cristian Tello,Ac Florenz,Cristian Tello Ac Florenz,1638,CRISTIANO Do,ascoli,CRISTIANO Do ascoli,True
757,1784,143812,Matias Vecino,Ac Florenz,Matias Vecino Ac Florenz,6490,VECINO M.,cagliari,VECINO M. cagliari,True
758,1787,231614,Gilberto,Ac Florenz,Gilberto Ac Florenz,7339,GILBERTO,fiorentina,GILBERTO fiorentina,True
759,1789,29835,Jakub Blaszczykowski,Ac Florenz,Jakub Blaszczykowski Ac Florenz,7172,BLASZCZYKOWS,fiorentina,BLASZCZYKOWS fiorentina,True
763,1804,208166,Bartlomiej Dragowski,Ac Florenz,Bartlomiej Dragowski Ac Florenz,7854,DRAGOWSKI B.,fiorentina,DRAGOWSKI B. fiorentina,True
764,1805,215616,Erick Pulgar,Ac Florenz,Erick Pulgar Ac Florenz,7561,PULGAR E.,bologna,PULGAR E. bologna,True
767,1808,265078,Patrick Cutrone,Ac Florenz,Patrick Cutrone Ac Florenz,8413,CUTRONE P.,milan,CUTRONE P. milan,True
768,1809,298975,Pol Lirola,Ac Florenz,Pol Lirola Ac Florenz,7995,LIROLA P.,sassuolo,LIROLA P. sassuolo,True
769,1810,303116,Gaetano Castrovilli,Ac Florenz,Gaetano Castrovilli Ac Florenz,9523,CASTROVILLI,fiorentina,CASTROVILLI fiorentina,True
771,1813,346561,Luca Ranieri,Ac Florenz,Luca Ranieri Ac Florenz,8729,RANIERI L.,fiorentina,RANIERI L. fiorentina,True
772,1814,357498,Dusan Vlahovic,Ac Florenz,Dusan Vlahovic Ac Florenz,9405,VLAHOVIC D.,fiorentina,VLAHOVIC D. fiorentina,True
774,1818,413507,Nikola Milenkovic,Ac Florenz,Nikola Milenkovic Ac Florenz,8638,MILENKOVIC N,fiorentina,MILENKOVIC N fiorentina,True
775,1820,451154,Federico Brancolini,Ac Florenz,Federico Brancolini Ac Florenz,9499,BRANCOLINI F,fiorentina,BRANCOLINI F fiorentina,True
776,1822,96254,Pietro Terracciano,Ac Florenz,Pietro Terracciano Ac Florenz,5279,TERRACCIANO,catania,TERRACCIANO catania,True
778,1838,373373,Lucas Martinez Quarta,Ac Florenz,Lucas Martinez Quarta Ac Florenz,10372,MARTINEZ QUA,fiorentina,MARTINEZ QUA fiorentina,True
781,1844,57280,Giacomo Bonaventura,Ac Florenz,Giacomo Bonaventura Ac Florenz,4815,BONAVENTURA,atalanta,BONAVENTURA atalanta,True
782,1852,188157,Sebastian Cristoforo,Ac Florenz,Sebastian Cristoforo Ac Florenz,7815,CRISTOFORO S,fiorentina,CRISTOFORO S fiorentina,True
784,1857,282076,Ianis Hagi,Ac Florenz,Ianis Hagi Ac Florenz,7926,HAGI I.,fiorentina,HAGI I. fiorentina,True
787,1872,149752,Vitor Hugo,Ac Florenz,Vitor Hugo Ac Florenz,8842,VITOR H.,fiorentina,VITOR H. fiorentina,True
788,1876,199976,Marco Sportiello,Ac Florenz,Marco Sportiello Ac Florenz,6462,SPORTIELLO M,atalanta,SPORTIELLO M atalanta,True
790,1882,329723,Gil Dias,Ac Florenz,Gil Dias Ac Florenz,8502,GIL DIAS B.,fiorentina,GIL DIAS B. fiorentina,True
791,1884,349719,Simone Lo Faso,Ac Florenz,Simone Lo Faso Ac Florenz,7997,LO FASO S.,palermo,LO FASO S. palermo,True
792,1885,354278,Rafik Zekhnini,Ac Florenz,Rafik Zekhnini Ac Florenz,8855,ZEKHNINI R.,fiorentina,ZEKHNINI R. fiorentina,True
796,1904,33639,Kevin Mirallas,Ac Florenz,Kevin Mirallas Ac Florenz,9204,MIRALLAS K.,fiorentina,MIRALLAS K. fiorentina,True
797,1907,357117,Alban Lafont,Ac Florenz,Alban Lafont Ac Florenz,9140,LAFONT A.,fiorentina,LAFONT A. fiorentina,True
798,1909,382774,Nicky Beloko,Ac Florenz,Nicky Beloko Ac Florenz,3365,KOSICKY,catania,KOSICKY catania,True
799,1911,404418,David Hancko,Ac Florenz,David Hancko Ac Florenz,9091,HANCKO D.,fiorentina,HANCKO D. fiorentina,True
800,1915,143559,Matija Nastasic,Ac Florenz,Matija Nastasic Ac Florenz,5137,NASTASIC,fiorentina,NASTASIC fiorentina,True
802,1924,324377,Youssef Maleh,Ac Florenz,Youssef Maleh Ac Florenz,7277,DIOUSSE A.,empoli,DIOUSSE A. empoli,True
804,1943,107958,Nicola Bellomo,Chievo Verona,Nicola Bellomo Chievo Verona,5994,BELLOMO,torino,BELLOMO torino,True
810,1952,28936,Riccardo Meggiorini,Chievo Verona,Riccardo Meggiorini Chievo Verona,3965,MEGGIORINI R,bari,MEGGIORINI R bari,True
811,1953,30853,Mariano Izco,Chievo Verona,Mariano Izco Chievo Verona,2282,IZCO M.,catania,IZCO M. catania,True
812,1954,37295,Perparim Hetemaj,Chievo Verona,Perparim Hetemaj Chievo Verona,4425,HETEMAJ P.,brescia,HETEMAJ P. brescia,True
814,1958,5928,Sergio Pellissier,Chievo Verona,Sergio Pellissier Chievo Verona,353,PELLISSIER S,chievo,PELLISSIER S chievo,True
816,1961,7797,Albano Bizzarri,Chievo Verona,Albano Bizzarri Chievo Verona,2602,BIZZARRI A.,catania,BIZZARRI A. catania,True
817,1962,88542,Ruben Botta,Chievo Verona,Ruben Botta Chievo Verona,6023,BOTTA,inter,BOTTA inter,True
818,1967,16893,Antonio Floro Flores,Chievo Verona,Antonio Floro Flores Chievo Verona,661,FLORO FLORES,sampdoria,FLORO FLORES sampdoria,True
824,1987,85380,Andrea Seculin,Chievo Verona,Andrea Seculin Chievo Verona,4105,SECULIN A.,fiorentina,SECULIN A. fiorentina,True
827,2005,393804,Sofian Kiyine,Chievo Verona,Sofian Kiyine Chievo Verona,9126,KIYINE S.,chievo,KIYINE S. chievo,True
828,2015,163683,Manuel Pucciarelli,Chievo Verona,Manuel Pucciarelli Chievo Verona,6980,PUCCIARELLI,empoli,PUCCIARELLI empoli,True
829,2018,205677,Luca Garritano,Chievo Verona,Luca Garritano Chievo Verona,5571,GARRITANO L.,inter,GARRITANO L. inter,True
830,2024,287600,Pawel Jaroszynski,Chievo Verona,Pawel Jaroszynski Chievo Verona,8547,JAROSZYNSKI,chievo,JAROSZYNSKI chievo,True
831,2031,462809,Christian Rutjens,Chievo Verona,Christian Rutjens Chievo Verona,6637,CHRISTIANSEN,chievo,CHRISTIANSEN chievo,True
833,2042,176485,Lucas Piazon,Chievo Verona,Lucas Piazon Chievo Verona,9271,PIAZON L.,chievo,PIAZON L. chievo,True
834,2048,287635,Assane Diousse,Chievo Verona,Assane Diousse Chievo Verona,7277,DIOUSSE A.,empoli,DIOUSSE A. empoli,True
837,2058,429318,Sergej Grubac,Chievo Verona,Sergej Grubac Chievo Verona,9084,GRUBAC S.,chievo,GRUBAC S. chievo,True
838,2065,606466,Mauro Burruchaga,Chievo Verona,Mauro Burruchaga Chievo Verona,8934,BURRUCHAGA M,chievo,BURRUCHAGA M chievo,True
841,2082,125251,Ivan Piris,Udinese Calcio,Ivan Piris Udinese Calcio,5769,PIRIS,roma,PIRIS roma,True
842,2084,129893,Molla Wague,Udinese Calcio,Molla Wague Udinese Calcio,7096,WAGUE M.,udinese,WAGUE M. udinese,True
843,2085,15981,Alex Geijo,Udinese Calcio,Alex Geijo Udinese Calcio,6742,GEIJO,udinese,GEIJO udinese,True
844,2087,168989,Silvan Widmer,Udinese Calcio,Silvan Widmer Udinese Calcio,6499,WIDMER S.,udinese,WIDMER S. udinese,True
845,2088,187090,Igor Bubnjic,Udinese Calcio,Igor Bubnjic Udinese Calcio,6032,BUBNJIC I.,udinese,BUBNJIC I. udinese,True
854,2100,6031,Antonio Di Natale,Udinese Calcio,Antonio Di Natale Udinese Calcio,158,DI NATALE A.,empoli,DI NATALE A. empoli,True
855,2101,6750,Maurizio Domizzi,Udinese Calcio,Maurizio Domizzi Udinese Calcio,636,DOMIZZI,modena,DOMIZZI modena,True
857,2115,25441,Zdravko Kuzmanovic,Udinese Calcio,Zdravko Kuzmanovic Udinese Calcio,2299,KUZMANOVIC Z,fiorentina,KUZMANOVIC Z fiorentina,True
858,2116,261611,Ali Adnan,Udinese Calcio,Ali Adnan Udinese Calcio,7115,ADNAN A.,udinese,ADNAN A. udinese,True
859,2119,40428,Manuel Iturra,Udinese Calcio,Manuel Iturra Udinese Calcio,7382,ITURRA,udinese,ITURRA udinese,True
862,2127,86926,Alexander Merkel,Udinese Calcio,Alexander Merkel Udinese Calcio,4522,MERKEL,milan,MERKEL milan,True
863,2128,104597,Bram Nuytinck,Udinese Calcio,Bram Nuytinck Udinese Calcio,8664,NUYTINCK B.,udinese,NUYTINCK B. udinese,True
864,2130,157849,Lukasz Teodorczyk,Udinese Calcio,Lukasz Teodorczyk Udinese Calcio,9372,TEODORCZYK L,udinese,TEODORCZYK L udinese,True
865,2131,182893,Seko Fofana,Udinese Calcio,Seko Fofana Udinese Calcio,7889,FOFANA S.,udinese,FOFANA S. udinese,True
866,2132,192875,William Troost Ekong,Udinese Calcio,William Troost Ekong Udinese Calcio,9382,TROOST-EKONG,udinese,TROOST-EKONG udinese,True
868,2134,252345,Ken Sema,Udinese Calcio,Ken Sema Udinese Calcio,9911,SEMA K.,udinese,SEMA K. udinese,True
870,2137,258519,Hidde Ter Avest,Udinese Calcio,Hidde Ter Avest Udinese Calcio,9373,TER AVEST H.,udinese,TER AVEST H. udinese,True
871,2138,283528,Ignacio Pussetto,Udinese Calcio,Ignacio Pussetto Udinese Calcio,9285,PUSSETTO I.,udinese,PUSSETTO I. udinese,True
873,2142,410158,Rodrigo Becao,Udinese Calcio,Rodrigo Becao Udinese Calcio,9879,RODRIGO BECA,udinese,RODRIGO BECA udinese,True
874,2143,47513,Mato Jajalo,Udinese Calcio,Mato Jajalo Udinese Calcio,3878,JAJALO M.,siena,JAJALO M. siena,True
875,2144,54581,Ilija Nestorovski,Udinese Calcio,Ilija Nestorovski Udinese Calcio,8068,NESTOROVSKI,palermo,NESTOROVSKI palermo,True
877,2147,92899,Marvin Zeegelaar,Udinese Calcio,Marvin Zeegelaar Udinese Calcio,9419,ZEEGELAAR M.,udinese,ZEEGELAAR M. udinese,True
878,2149,112302,Roberto Pereyra,Udinese Calcio,Roberto Pereyra Udinese Calcio,5762,PEREYRA R.,udinese,PEREYRA R. udinese,True
879,2150,129476,Gerard Deulofeu,Udinese Calcio,Gerard Deulofeu Udinese Calcio,7839,DEULOFEU G.,milan,DEULOFEU G. milan,True
880,2152,241477,Thomas Ouwejan,Udinese Calcio,Thomas Ouwejan Udinese Calcio,10432,OUWEJAN T.,udinese,OUWEJAN T. udinese,True
881,2159,322305,Jean Victor Makengo,Udinese Calcio,Jean Victor Makengo Udinese Calcio,10350,MAKENGO J.,udinese,MAKENGO J. udinese,True
885,2167,53536,Tolgay Arslan,Udinese Calcio,Tolgay Arslan Udinese Calcio,10024,ARSLAN T.,udinese,ARSLAN T. udinese,True
886,2181,238993,Simone Scuffet,Udinese Calcio,Simone Scuffet Udinese Calcio,6450,SCUFFET S.,udinese,SCUFFET S. udinese,True
887,2187,288499,Ewandro Costa,Udinese Calcio,Ewandro Costa Udinese Calcio,7870,EWANDRO,udinese,EWANDRO udinese,True
888,2189,316111,Andrija Balic,Udinese Calcio,Andrija Balic Udinese Calcio,7722,BALIC A.,udinese,BALIC A. udinese,True
889,2192,42735,Sven Kums,Udinese Calcio,Sven Kums Udinese Calcio,7983,KUMS S.,udinese,KUMS S. udinese,True
892,2216,321079,Svante Ingelsson,Udinese Calcio,Svante Ingelsson Udinese Calcio,8540,INGELSSON S.,udinese,INGELSSON S. udinese,True
896,2243,467599,Ben Wilmot,Udinese Calcio,Ben Wilmot Udinese Calcio,9411,WILMOT B.,udinese,WILMOT B. udinese,True
898,2253,210178,Pablo Mari,Udinese Calcio,Pablo Mari Udinese Calcio,2928,PABLO ALVARE,catania,PABLO ALVARE catania,True
900,2263,491693,Nehuen Perez,Udinese Calcio,Nehuen Perez Udinese Calcio,6959,PEREZ,torino,PEREZ torino,True
902,2266,556385,Destiny Udogie,Udinese Calcio,Destiny Udogie Udinese Calcio,10605,UDOGIE D.,verona,UDOGIE D. verona,True
904,2286,15185,Lukas Podolski,Inter Mailand,Lukas Podolski Inter Mailand,6974,PODOLSKI,inter,PODOLSKI inter,True
905,2287,156617,Marcelo Brozovic,Inter Mailand,Marcelo Brozovic Inter Mailand,6604,BROZOVIC M.,inter,BROZOVIC M. inter,True
906,2288,19726,Nemanja Vidic Lrm ,Inter Mailand,Nemanja Vidic Lrm  Inter Mailand,7089,VIDIC,inter,VIDIC inter,True
907,2289,21782,Hugo Campagnaro,Inter Mailand,Hugo Campagnaro Inter Mailand,79,CAMPAGNARO H,piacenza,CAMPAGNARO H piacenza,True
908,2290,240197,Isaac Donkor,Inter Mailand,Isaac Donkor Inter Mailand,6693,DONKOR I.,inter,DONKOR I. inter,True
910,2293,285920,Gaston Camara,Inter Mailand,Gaston Camara Inter Mailand,6739,GASTON SILVA,torino,GASTON SILVA torino,True
911,2294,37389,Daniel Osvaldo,Inter Mailand,Daniel Osvaldo Inter Mailand,2927,OSVALDO,fiorentina,OSVALDO fiorentina,True
912,2295,39090,Fredy Guarin,Inter Mailand,Fredy Guarin Inter Mailand,5000,GUARIN,inter,GUARIN inter,True
914,2299,51471,Mateo Kovacic,Inter Mailand,Mateo Kovacic Inter Mailand,5620,KOVACIC M.,inter,KOVACIC M. inter,True
915,2300,52897,Hernanes,Inter Mailand,Hernanes Inter Mailand,4424,HERNANES,lazio,HERNANES lazio,True
918,2303,60889,Gary Medel,Inter Mailand,Gary Medel Inter Mailand,6882,MEDEL G.,inter,MEDEL G. inter,True
920,2305,79522,Yuto Nagatomo,Inter Mailand,Yuto Nagatomo Inter Mailand,4551,NAGATOMO Y.,cesena,NAGATOMO Y. cesena,True
921,2307,86792,Xherdan Shaqiri,Inter Mailand,Xherdan Shaqiri Inter Mailand,7036,SHAQIRI,inter,SHAQIRI inter,True
922,2309,127189,Geoffrey Kondogbia,Inter Mailand,Geoffrey Kondogbia Inter Mailand,7398,KONDOGBIA G.,inter,KONDOGBIA G. inter,True
923,2310,131102,Jeison Murillo,Inter Mailand,Jeison Murillo Inter Mailand,7501,MURILLO J.,inter,MURILLO J. inter,True
924,2312,255755,Alex Telles,Inter Mailand,Alex Telles Inter Mailand,7636,TELLES,inter,TELLES inter,True
929,2321,42460,Ivan Perisic,Inter Mailand,Ivan Perisic Inter Mailand,7539,PERISIC I.,inter,PERISIC I. inter,True
930,2323,46104,Stevan Jovetic,Inter Mailand,Stevan Jovetic Inter Mailand,3350,JOVETIC S.,fiorentina,JOVETIC S. fiorentina,True
931,2333,14086,Ashley Young,Inter Mailand,Ashley Young Inter Mailand,9995,YOUNG A.,inter,YOUNG A. inter,True
935,2350,569384,Lucien Agoume,Inter Mailand,Lucien Agoume Inter Mailand,9426,AGOUME L.,inter,AGOUME L. inter,True
937,2366,37666,Arturo Vidal,Inter Mailand,Arturo Vidal Inter Mailand,3656,ARTUR,roma,ARTUR roma,True
938,2367,398073,Achraf Hakimi,Inter Mailand,Achraf Hakimi Inter Mailand,10252,HAKIMI A.,inter,HAKIMI A. inter,True
940,2384,12249,Ever Banega,Inter Mailand,Ever Banega Inter Mailand,7724,BANEGA E.,inter,BANEGA E. inter,True
941,2387,145840,Trent Sainsbury,Inter Mailand,Trent Sainsbury Inter Mailand,8161,SAINSBURY T.,inter,SAINSBURY T. inter,True
942,2388,149729,Joao Mario,Inter Mailand,Joao Mario Inter Mailand,7962,JOAO MARIO,inter,JOAO MARIO inter,True
943,2391,244275,Gabriel Barbosa,Inter Mailand,Gabriel Barbosa Inter Mailand,6162,GABRIEL V.,milan,GABRIEL V. milan,True
944,2395,351506,Josh Perez,Inter Mailand,Josh Perez Inter Mailand,6959,PEREZ,torino,PEREZ torino,True
947,2443,76061,Sime Vrsaljko,Inter Mailand,Sime Vrsaljko Inter Mailand,6496,VRSALJKO S.,genoa,VRSALJKO S. genoa,True
948,2447,126414,Hakan Calhanoglu,Inter Mailand,Hakan Calhanoglu Inter Mailand,8355,CALHANOGLU H,milan,CALHANOGLU H milan,True
950,2485,163690,Franco Signorelli,Fc Empoli,Franco Signorelli Fc Empoli,7037,SIGNORELLI F,empoli,SIGNORELLI F empoli,True
954,2492,3713,Massimo Maccarone,Fc Empoli,Massimo Maccarone Fc Empoli,1246,MACCARONE M.,parma,MACCARONE M. parma,True
956,2494,56912,Levan Mchedlidze,Fc Empoli,Levan Mchedlidze Fc Empoli,3424,MCHEDLIDZE L,palermo,MCHEDLIDZE L palermo,True
958,2502,140559,Raffaele Maiello,Fc Empoli,Raffaele Maiello Fc Empoli,4493,MAIELLO R.,napoli,MAIELLO R. napoli,True
960,2510,22285,Maurizio Pugliesi,Fc Empoli,Maurizio Pugliesi Fc Empoli,6982,PUGLIESI M.,empoli,PUGLIESI M. empoli,True
962,2513,259953,Rade Krunic,Fc Empoli,Rade Krunic Fc Empoli,7405,KRUNIC R.,empoli,KRUNIC R. empoli,True
963,2514,28031,Marco Zambelli,Fc Empoli,Marco Zambelli Fc Empoli,1458,ZAMBELLI M.,brescia,ZAMBELLI M. brescia,True
965,2520,62716,Michele Camporese,Fc Empoli,Michele Camporese Fc Empoli,4274,CAMPORESE,fiorentina,CAMPORESE fiorentina,True
966,2522,80894,Lukasz Skorupski,Fc Empoli,Lukasz Skorupski Fc Empoli,6458,SKORUPSKI L.,roma,SKORUPSKI L. roma,True
970,2529,95438,Marko Livaja,Fc Empoli,Marko Livaja Fc Empoli,5054,LIVAJA M.,cesena,LIVAJA M. cesena,True
971,2530,111433,Frederic Veseli,Fc Empoli,Frederic Veseli Fc Empoli,8234,VESELI F.,empoli,VESELI F. empoli,True
975,2549,61786,Guido Marilungo,Fc Empoli,Guido Marilungo Fc Empoli,3414,MARILUNGO G.,sampdoria,MARILUNGO G. sampdoria,True
976,2558,147031,Joel Untersee,Fc Empoli,Joel Untersee Fc Empoli,9386,UNTERSEE J.,empoli,UNTERSEE J. empoli,True
978,2564,197929,Ivan Provedel,Fc Empoli,Ivan Provedel Fc Empoli,9282,PROVEDEL I.,empoli,PROVEDEL I. empoli,True
982,2571,243225,Samuel Mraz,Fc Empoli,Samuel Mraz Fc Empoli,390,SAMUEL,roma,SAMUEL roma,True
983,2573,283233,Jacob Rasmussen,Fc Empoli,Jacob Rasmussen Fc Empoli,9294,RASMUSSEN J.,empoli,RASMUSSEN J. empoli,True
984,2575,292772,Dimitrios Nikolaou,Fc Empoli,Dimitrios Nikolaou Fc Empoli,9221,NIKOLAOU D.,empoli,NIKOLAOU D. empoli,True
985,2576,351816,Ismael Bennacer,Fc Empoli,Ismael Bennacer Fc Empoli,8905,BENNACER I.,empoli,BENNACER I. empoli,True
988,2586,134983,Andrea La Mantia,Fc Empoli,Andrea La Mantia Fc Empoli,9710,LA MANTIA A.,lecce,LA MANTIA A. lecce,True
989,2588,183841,Petar Stojanovic,Fc Empoli,Petar Stojanovic Fc Empoli,5877,STOJANOVIC D,bologna,STOJANOVIC D bologna,True
992,2597,297645,Riccardo Marchizza,Fc Empoli,Riccardo Marchizza Fc Empoli,10366,MARCHIZZA R.,spezia,MARCHIZZA R. spezia,True
993,2599,38607,Federico Di Francesco,Fc Empoli,Federico Di Francesco Fc Empoli,155,DI FRANCESCO,piacenza,DI FRANCESCO piacenza,True
994,2601,390177,Nedim Bajrami,Fc Empoli,Nedim Bajrami Fc Empoli,6403,RAMI,milan,RAMI milan,True
995,2602,435228,Ardian Ismajli,Fc Empoli,Ardian Ismajli Fc Empoli,10277,ISMAJLI A.,spezia,ISMAJLI A. spezia,True
996,2603,467992,Samuele Ricci,Fc Empoli,Samuele Ricci Fc Empoli,390,SAMUEL,roma,SAMUEL roma,True
1002,2615,139173,Achraf Lazaar,Palermo Fc,Achraf Lazaar Palermo Fc,6826,LAZAAR A.,palermo,LAZAAR A. palermo,True
1003,2617,16651,Enzo Maresca,Palermo Fc,Enzo Maresca Palermo Fc,284,MARESCA E.,piacenza,MARESCA E. piacenza,True
1005,2621,206050,Paulo Dybala,Palermo Fc,Paulo Dybala Palermo Fc,5534,DYBALA P.,palermo,DYBALA P. palermo,True
1006,2622,206542,Robin Quaison,Palermo Fc,Robin Quaison Palermo Fc,6986,QUAISON R.,palermo,QUAISON R. palermo,True
1007,2625,22217,Roberto Vitiello,Palermo Fc,Roberto Vitiello Palermo Fc,5305,VITIELLO R.,siena,VITIELLO R. siena,True
1008,2626,244927,Accursio Bentivegna,Palermo Fc,Accursio Bentivegna Palermo Fc,7742,BENTIVEGNA A,palermo,BENTIVEGNA A palermo,True
1009,2627,252767,Ivaylo Chochev,Palermo Fc,Ivaylo Chochev Palermo Fc,6636,CHOCHEV I.,palermo,CHOCHEV I. palermo,True
1010,2629,28984,Sol Bamba,Palermo Fc,Sol Bamba Palermo Fc,6548,BAMBA,palermo,BAMBA palermo,True
1011,2632,47544,Michel Morganella,Palermo Fc,Michel Morganella Palermo Fc,3444,MORGANELLA M,palermo,MORGANELLA M palermo,True
1013,2634,55385,Granddi Ngoyi,Palermo Fc,Granddi Ngoyi Palermo Fc,6918,NGOYI,palermo,NGOYI palermo,True
1014,2635,56889,Francesco Della Rocca,Palermo Fc,Francesco Della Rocca Palermo Fc,151,DELLA ROCCA,bologna,DELLA ROCCA bologna,True
1015,2636,66109,Fabio Daprela,Palermo Fc,Fabio Daprela Palermo Fc,4327,DAPRELA F.,brescia,DAPRELA F. brescia,True
1016,2637,74448,Andrea Rispoli,Palermo Fc,Andrea Rispoli Palermo Fc,4637,RISPOLI A.,lecce,RISPOLI A. lecce,True
1017,2639,76163,Franco Vazquez,Palermo Fc,Franco Vazquez Palermo Fc,5300,VAZQUEZ,palermo,VAZQUEZ palermo,True
1018,2640,84622,Sinisa Andjelkovic,Palermo Fc,Sinisa Andjelkovic Palermo Fc,4198,ANDELKOVIC S,palermo,ANDELKOVIC S palermo,True
1019,2641,108119,Aljaz Struna,Palermo Fc,Aljaz Struna Palermo Fc,7626,STRUNA A.,palermo,STRUNA A. palermo,True
1020,2645,142920,Aleksandar Trajkovski,Palermo Fc,Aleksandar Trajkovski Palermo Fc,7647,TRAJKOVSKI A,palermo,TRAJKOVSKI A palermo,True
1021,2648,190804,Uros Djurdjevic,Palermo Fc,Uros Djurdjevic Palermo Fc,7280,DJURDJEVIC,palermo,DJURDJEVIC palermo,True
1022,2656,287871,Fabrizio Alastra,Palermo Fc,Fabrizio Alastra Palermo Fc,7119,ALASTRA,palermo,ALASTRA palermo,True
1025,2673,230166,Haitam Aleesami,Palermo Fc,Haitam Aleesami Palermo Fc,7694,ALEESAMI H.,palermo,ALEESAMI H. palermo,True
1026,2674,231381,Andrea Fulignati,Palermo Fc,Andrea Fulignati Palermo Fc,7893,FULIGNATI A.,palermo,FULIGNATI A. palermo,True
1027,2679,255322,Josip Posavec,Palermo Fc,Josip Posavec Palermo Fc,7555,POSAVEC J.,palermo,POSAVEC J. palermo,True
1028,2680,275682,Carlos Embalo,Palermo Fc,Carlos Embalo Palermo Fc,7866,EMBALO C.,palermo,EMBALO C. palermo,True
1033,2688,35934,Slobodan Rajkovic,Palermo Fc,Slobodan Rajkovic Palermo Fc,8139,RAJKOVIC S.,palermo,RAJKOVIC S. palermo,True
1034,2699,147034,Marco Van Ginkel,Ac Mailand,Marco Van Ginkel Ac Mailand,7081,VAN GINKEL,milan,VAN GINKEL milan,True
1035,2700,15420,Alex,Ac Mailand,Alex Ac Mailand,6522,ALEX,milan,ALEX milan,True
1037,2702,16993,Jeremy Menez,Ac Mailand,Jeremy Menez Ac Mailand,3969,MENEZ,roma,MENEZ roma,True
1038,2703,17129,Sulley Muntari,Ac Mailand,Sulley Muntari Ac Mailand,314,MUNTARI S.,udinese,MUNTARI S. udinese,True
1039,2704,19446,Riccardo Montolivo,Ac Mailand,Riccardo Montolivo Ac Mailand,1294,MONTOLIVO R.,atalanta,MONTOLIVO R. atalanta,True
1044,2713,34370,Diego Lopez,Ac Mailand,Diego Lopez Ac Mailand,6687,DIEGO LOPEZ,milan,DIEGO LOPEZ milan,True
1046,2716,44834,Andrea Poli,Ac Mailand,Andrea Poli Ac Mailand,574,CODREA P.,perugia,CODREA P. perugia,True
1047,2717,4672,Nigel De Jong,Ac Mailand,Nigel De Jong Ac Mailand,5503,DE JONG,milan,DE JONG milan,True
1049,2719,5422,Philippe Mexes,Ac Mailand,Philippe Mexes Ac Mailand,1283,MEXES,roma,MEXES roma,True
1050,2720,5588,Michael Essien,Ac Mailand,Michael Essien Ac Mailand,6139,ESSIEN,milan,ESSIEN milan,True
1051,2722,5856,Daniele Bonera,Ac Mailand,Daniele Bonera Ac Mailand,61,BONERA,parma,BONERA parma,True
1052,2723,5993,Cristian Zaccardo,Ac Mailand,Cristian Zaccardo Ac Mailand,458,ZACCARDO,bologna,ZACCARDO bologna,True
1053,2724,66521,Keisuke Honda,Ac Mailand,Keisuke Honda Ac Mailand,6202,HONDA K.,milan,HONDA K. milan,True
1054,2726,88682,Mattia De Sciglio,Ac Mailand,Mattia De Sciglio Ac Mailand,4907,DE SCIGLIO M,milan,DE SCIGLIO M milan,True
1056,2733,16922,Kevin Prince Boateng,Ac Mailand,Kevin Prince Boateng Ac Mailand,4247,BOATENG K.,milan,BOATENG K. milan,True
1057,2735,176140,Rodrigo Ely,Ac Mailand,Rodrigo Ely Ac Mailand,9879,RODRIGO BECA,udinese,RODRIGO BECA udinese,True
1060,2746,45146,Mario Balotelli,Ac Mailand,Mario Balotelli Ac Mailand,2575,BALOTELLI M.,inter,BALOTELLI M. inter,True
1064,2770,312678,Leo Duarte,Ac Mailand,Leo Duarte Ac Mailand,9601,DUARTE L.,milan,DUARTE L. milan,True
1069,2778,444523,Lucas Paqueta,Ac Mailand,Lucas Paqueta Ac Mailand,9244,PAQUETA L.,milan,PAQUETA L. milan,True
1070,2780,48859,Simon Kjaer,Ac Mailand,Simon Kjaer Ac Mailand,3360,KJAER S.,palermo,KJAER S. palermo,True
1073,2795,34572,Mario Mandzukic,Ac Mailand,Mario Mandzukic Ac Mailand,7444,MANDZUKIC M.,juventus,MANDZUKIC M. juventus,True
