,index,player_id,pretty_name,club_pretty_name,_name_and_club,index,pt_name,pt_team,_name_and_club,TRUSTWORTH
162,336,36356,Marco Andreolli,Cagliari Calcio,Marco Andreolli Cagliari Calcio,978,ANDREOLLI M.,inter,ANDREOLLI M. inter,True
163,337,386574,Fabrizio Caligara,Cagliari Calcio,Fabrizio Caligara Cagliari Calcio,8356,CALIGARA F.,cagliari,CALIGARA F. cagliari,True
165,339,45548,Gregory Van Der Wiel,Cagliari Calcio,Gregory Van Der Wiel Cagliari Calcio,8827,VAN DER WIEL,cagliari,VAN DER WIEL cagliari,True
168,355,14942,Darijo Srna,Cagliari Calcio,Darijo Srna Cagliari Calcio,9359,SRNA D.,cagliari,SRNA D. cagliari,True
169,358,238486,Filip Bradaric,Cagliari Calcio,Filip Bradaric Cagliari Calcio,8928,BRADARIC F.,cagliari,BRADARIC F. cagliari,True
170,362,29316,Cyril Thereau,Cagliari Calcio,Cyril Thereau Cagliari Calcio,4700,THEREAU C.,chievo,THEREAU C. chievo,True
171,375,134883,Daniele Baselli,Cagliari Calcio,Daniele Baselli Cagliari Calcio,5984,BASELLI D.,atalanta,BASELLI D. atalanta,True
173,380,242940,Edoardo Goldaniga,Cagliari Calcio,Edoardo Goldaniga Cagliari Calcio,7345,GOLDANIGA E.,palermo,GOLDANIGA E. palermo,True
177,389,357992,Raoul Bellanova,Cagliari Calcio,Raoul Bellanova Cagliari Calcio,8901,BELLANOVA R.,milan,BELLANOVA R. milan,True
181,396,68864,Kevin Strootman,Cagliari Calcio,Kevin Strootman Cagliari Calcio,6469,STROOTMAN K.,roma,STROOTMAN K. roma,True
183,408,112343,Manolo Gabbiadini,Sampdoria Genua,Manolo Gabbiadini Sampdoria Genua,4964,GABBIADINI M,atalanta,GABBIADINI M atalanta,True
184,409,119228,Luis Muriel,Sampdoria Genua,Luis Muriel Sampdoria Genua,5132,MURIEL L.,lecce,MURIEL L. lecce,True
185,410,164759,Pawel Wszolek,Sampdoria Genua,Pawel Wszolek Sampdoria Genua,6501,WSZOLEK P.,sampdoria,WSZOLEK P. sampdoria,True
187,412,17735,Djamel Mesbah,Sampdoria Genua,Djamel Mesbah Sampdoria Genua,4523,MESBAH D.,lecce,MESBAH D. lecce,True
197,424,52328,Gonzalo Bergessio,Sampdoria Genua,Gonzalo Bergessio Sampdoria Genua,4237,BERGESSIO G.,catania,BERGESSIO G. catania,True
